numberOfOccurrences;species;taxonKey;intraSpeciesPercentage
46010;Allium ursinum;2857601;18.05
45821;Festuca heterophylla;2704987;7.48
45793;Hypericum hirsutum;7921919;7.05
45765;Catapodium rigidum;2705228;89.36
45762;Sambucus racemosa;2888723;12.43
45729;Saxifraga granulata;7887000;15.44
45723;Orchis simia;2812415;10.7
45707;Luzula multiflora;2700934;11.45
45677;Primula vulgaris;5414335;12.32
45643;Crepis vesicaria;5403709;12.23
45319;Mentha arvensis;2927192;13.84
45284;Aira caryophyllea;7747216;59.92
45272;Scorzonera humilis;3111049;77.51
45239;Saxifraga tridactylites;3032833;15.28
45214;Cistus albidus;7331435;35.83
45123;Pistacia lentiscus;3190583;61.29
45010;Rhinanthus minor;3172043;48.89
44963;Erigeron sumatrensis;3146683;14.55
44938;Crepis setosa;4245384;12.04
44795;Petrosedum sediforme;4201784;40.83
44614;Campanula glomerata;5409933;9.91
44532;Cephalanthera rubra;2795845;26.57
44452;Bidens tripartita;5391862;45.14
44359;Ornithogalum pyrenaicum;2772902;58.8
44339;Galium uliginosum;2913556;3.78
44252;Scutellaria galericulata;2926759;53.96
44172;Geranium pusillum;2890212;4.31
43966;Hydrocotyle vulgaris;3034606;92.29
43749;Euphorbia exigua;3069593;4.44
43657;Carex riparia;2718117;2.01
43635;Helichrysum stoechas;3131494;71.96
43635;Euphorbia characias;3067353;4.43
43616;Epipactis atrorubens;5318958;20.07
43547;Ribes uva-crispa;2986185;23.98
43385;Genista sagittalis;5347702;14.86
43102;Arbutus unedo;2882803;100.0
43002;Sanicula europaea;6027128;100.0
42897;Aethusa cynapium;5371825;100.0
42542;Raphanus raphanistrum;3040983;98.76
42509;Ranunculus auricomus;9100915;3.6
42431;Euphorbia lathyris;3066965;4.3
42369;Stachys palustris;2927245;12.34
42354;Ophrys holosericea;7884558;10.18
42333;Asparagus acutifolius;2768995;51.9
42315;Saponaria ocymoides;3085357;33.65
42291;Galium pumilum;9121716;3.6
42269;Chaenorhinum minus;3171669;89.72
42241;Pimpinella major;5371874;32.92
42158;Lotus dorycnium;5632022;7.11
41994;Medicago minima;8073758;8.46
41964;Lolium giganteum;8368313;7.5
41940;Calamagrostis epigejos;6431455;48.38
41853;Drosera rotundifolia;3191030;70.33
41761;Smilax aspera;5295044;100.0
41671;Cotinus coggygria;3190522;100.0
41638;Carex echinata;2726894;1.92
41592;Torilis arvensis;3034823;31.34
41577;Atriplex patula;3083728;46.29
41449;Eriophorum angustifolium;2730127;52.24
41399;Helianthemum apenninum;9823314;16.0
41355;Bituminaria bituminosa;2952882;100.0
41181;Populus alba;3040233;13.87
41092;Polygonatum odoratum;2770228;20.79
41070;Cerastium arvense;3085433;8.92
41011;Melissa officinalis;5341501;100.0
40922;Asplenium ceterach;2650617;9.71
40906;Petrorhagia prolifera;3085619;71.26
40890;Hibiscus syriacus;3152583;97.42
40838;Rhinanthus alectorolophus;3172045;44.36
40733;Borago officinalis;2926110;99.13
40703;Cistus salviifolius;2874027;32.25
40505;Pinus pinaster;5285565;12.19
40306;Lactuca perennis;3140574;17.15
40267;Asplenium adiantum-nigrum;2650594;9.56
40211;Brachypodium retusum;5676053;7.64
40167;Geum montanum;5369806;11.29
40022;Centaurea cyanus;3089561;8.81
39906;Trollius europaeus;3033289;100.0
39824;Tilia cordata;3152047;37.77
39630;Phyteuma orbiculare;3166655;26.56
39594;Carex paniculata;2723371;1.83
39573;Senecio ovatus;3107361;10.54
39558;Patzkea paniculata;7642703;100.0
39482;Lophiolepis eriophora;12171609;91.07
39401;Valeriana dioica;2888762;19.94
39322;Berberis vulgaris;3033894;96.91
39113;Parietaria judaica;5361801;84.54
39071;Adoxa moschatellina;2888794;100.0
39054;Trifolium alpinum;5359425;2.92
38982;Erica tetralix;5333412;18.8
38947;Laserpitium latifolium;6026401;59.02
38652;Cirsium oleraceum;3113650;4.62
38457;Hypnum cupressiforme;2681972;83.6
38306;Silaum silaus;6027388;100.0
38232;Juncus bulbosus;2701339;4.58
38228;Thuidium tamariscinum;2679436;94.3
38219;Alyssum alyssoides;3044855;83.8
38149;Rorippa amphibia;3053201;46.0
38053;Cytisophyllum sessilifolium;2940408;100.0
38050;Luzula forsteri;2700706;9.53
37881;Cirsium acaulon;3112694;4.52
37815;Carlina acaulis;3105433;26.27
37732;Comarum palustre;3020532;100.0
37662;Dicranum scoparium;2675446;79.07
37610;Polystichum setiferum;4044517;39.96
37359;Umbilicus rupestris;7334368;100.0
37344;Papaver dubium;2888464;15.63
37294;Stellaria aquatica;5384501;10.36
37237;Trifolium montanum;5359047;2.79
37059;Equisetum fluviatile;2687937;11.95
36944;Muscari neglectum;2772020;35.37
36926;Noccaea perfoliata;7639623;63.49
36885;Cirsium acaule;3112799;4.4
36809;Impatiens glandulifera;2891770;49.01
36787;Ophrys scolopax;2792827;8.84
36755;Hepatica nobilis;5371699;100.0
36699;Vicia tetrasperma;2975083;5.12
36641;Pinus nigra;5284809;11.03
36489;Saxifraga paniculata;3032837;12.32
36401;Trifolium fragiferum;5358935;2.72
36385;Pulsatilla alpina;7278071;43.67
36376;Arnica montana;5405976;100.0
